STATEFIP,income_group,mean_value_2007,mean_value_2009,mean_value_2019,mean_value_2021,median_value_2007,median_value_2009,median_value_2019,median_value_2021,n_hh_2007,n_hh_2009,n_hh_2019,n_hh_2021,pct_chg_0709,pct_chg_1921,pct_chg_0721,abs_gain_0721,recovered_07
36,High,608733.1659916528,756424.4076537893,942806.6771744075,921245.2058727837,625000,500000,600000,650000,23530,23338,23700,24694,24.262065862887734,-2.286945120737117,51.33809973570854,312512.0398811309,1
36,Low,278916.5885021562,280547.48352097836,330173.42181167274,367598.7622544364,162500,180000,200000,239000,26202,25753,26412,28234,0.5847249988179016,11.335055449772284,31.79523105044525,88682.173752280185,1
36,Middle,360629.4576082791,340966.2812845755,413641.9862116797,444761.78425896197,350000,300000,325000,350000,73572,72675,75805,76936,-5.452459833456526,7.523365394381611,23.329299610923254,84132.3266506829,1
37,High,352489.82330620644,366353.83984590566,447144.5531021515,547045.7553955788,275000,300000,368000,450000,14145,14237,14550,14767,3.9331678882699572,22.34203717798718,55.194765699763884,194555.93208937236,1
37,Low,119304.44346368752,127118.92923248875,153464.64709854353,181043.5366255216,95000,97000,125000,150000,13462,13607,14209,15147,6.550037485552421,17.970842176614774,51.74919841156252,61739.093161834084,1
37,Middle,176423.12746074135,174069.4747034818,219000.52367155714,262221.7449422055,137500,150000,190000,230000,39758,40049,42745,43340,-1.334095359908694,19.735670283359116,48.63229595595766,85798.61748146414,1
38,High,202038.70107264363,206122.01285745954,349319.11321698816,331342.8032211851,162500,185000,325000,300000,910,912,932,1109,2.02105426491915,-5.14609974537426,63.99967009392413,129304.10214854148,1
38,Low,84005.13291919792,99451.71555032946,154725.46364055577,163088.68553060928,65000,78000,148000,150000,1205,1206,1423,1457,18.38766524658578,5.405200729908421,94.14133382477893,79083.55261141136,1
38,Middle,123012.50023983576,130625.10154706679,227302.01650303334,240175.26573183452,112500,125000,200000,231000,3106,3176,3681,3267,6.188477831430828,5.663499790653805,95.24460137268012,117162.76549199875,1
39,High,296518.13047964,279629.8990569167,354132.9404652997,395182.4654630014,225000,230000,300000,320000,17671,17314,16351,16334,-5.695513928745372,11.59155794537673,33.27430090826641,98664.33498336142,1
39,Low,112787.28282917365,113447.40625235008,123793.54169594569,146219.0192740951,95000,90000,100000,124000,18326,17584,17710,18636,0.5852817858696359,18.115224163494354,29.64140602230553,33431.73644492145,1
39,Middle,159801.11124074637,147483.88745726334,176906.15288515453,209446.98646567238,137500,130000,155000,185000,53759,52331,51516,51863,-7.707846139396785,18.39440463195364,31.06729035828333,49645.875224926014,1
40,High,243196.62627642442,228453.85468241217,344879.2571811917,376399.2963757628,187500,180000,250000,300000,5205,5225,4487,4294,-6.062078993338986,9.139441859216015,54.7715945483291,133202.67009933837,1
40,Low,85216.54056463159,86463.74344925414,114956.56562147493,142007.80692947688,75000,68000,87000,100000,5748,5610,5930,6156,1.4635690164829163,23.531706224658237,66.64347788417032,56791.26636484529,1
40,Middle,119406.02735772014,118823.74234490412,165951.95799546418,195295.41063503613,112500,100000,149000,170000,16091,16151,15163,15217,-0.4876512733076647,17.68189601015371,63.55573915039004,75889.38327731598,1
41,High,484075.823833395,456606.487197609,604736.2559442526,706682.1938774582,450000,380000,510000,600000,5313,5188,5772,5941,-5.674593789513481,16.8579173038045,45.98584748175276,222606.3700440632,1
41,Low,230664.6056483268,205232.33760521337,278468.3947197593,333355.22157753864,187500,185000,250000,300000,5489,5462,5854,5989,-11.025648244398486,19.710253622503732,44.51945093204929,102690.61592921184,1
41,Middle,302811.44332198746,281371.03181641264,366719.01666396775,434984.0028078933,275000,250000,350000,400000,15910,15743,17131,17670,-7.0804495597534824,18.61506577022653,43.648469171412145,132172.55948590586,1
42,High,381988.568498438,388845.07256788464,433626.53990619746,503121.1475605651,350000,300000,350000,400000,18129,17760,17776,17947,1.7949500678512271,16.026373217239144,31.711048196622258,121132.5790621271,1
42,Low,129791.09179177787,131076.54326675073,159326.5042696846,177909.6030053149,95000,100000,128000,150000,20498,20428,20130,20921,0.9904003866729836,11.663532580979451,37.07381650717054,48118.511213537015,1
42,Middle,190006.75303595437,187026.6624478159,218839.37764423725,244089.95998271587,162500,160000,195000,215000,59792,58421,58760,59581,-1.568412985602967,11.538408951028906,28.463834091479633,54083.20694676149,1
44,High,486394.57681114116,449936.33433089865,515860.62433973374,578911.3750184899,450000,375000,400000,500000,1531,1580,1547,1526,-7.495610399126352,12.222439105418601,19.020935392392637,92516.79820734874,1
44,Low,276715.34831078333,249560.56435872393,257713.79574152816,335708.02436029527,225000,225000,230000,300000,1483,1424,1383,1508,-9.813255433002379,30.263893477006857,21.318902767639884,58992.67604951194,1
44,Middle,338223.4531310677,285245.7674470867,297171.50061820785,386602.9666195963,275000,250000,275000,341000,4430,4321,4179,4466,-15.663516291831835,30.094227008762136,14.304009092409293,48379.51348852861,1
45,High,331601.20124583767,347064.00125680136,445333.2523142316,512852.6660595407,275000,250000,325000,385000,6861,7142,7461,7774,4.6630711688828015,15.161547761016225,54.65947171865927,181251.46481370303,1
45,Low,116855.51502955603,106070.41780464887,146473.69904153727,168751.4720303098,85000,80000,100000,130000,6741,6562,7666,7875,-9.229429370260625,15.209401506583747,44.41036179390234,51895.957000753755,1
45,Middle,167356.68793467167,164218.25618300767,206741.50488391728,241042.39185827336,137500,130000,180000,200000,19699,19923,21840,22335,-1.8752950900229928,16.591195364286232,44.02913611218524,73685.70392360169,1
46,High,234091.58591349563,249177.04565540238,349075.93770457356,474451.663133866,187500,205000,250000,375000,1055,1095,1084,1107,6.444255432350874,35.91646168845907,102.67779436941879,240360.07722037035,1
