puma_geoid,STATEFIP,mean_val_2007,mean_val_2009,mean_val_2019,mean_val_2021,med_val_2007,med_val_2009,med_val_2019,med_val_2021,med_inc_2007,med_inc_2009,med_inc_2019,med_inc_2021,n_hh_2007,n_hh_2009,n_hh_2019,n_hh_2021,pct_chg_0709,pct_chg_1921,pct_chg_0721,abs_gain_0721,recovered_07,decimated
0200101,2,303165.32060294936,277779.0919382709,337949.16095890413,338448.43544504826,275000,250000,310000,300000,87180,87800,131600,113100,437,488,295,401,-8.37372447949823,0.14773656627153015,11.638242386011104,35283.114842098905,1,FALSE
0200102,2,332619.3275074302,303566.10724897945,329258.35420501523,428236.78404298855,350000,265000,300000,350000,95400,100000,128600,119000,788,774,503,597,-8.734675905987986,30.061023076226533,28.746813136835044,95617.45653555833,1,FALSE
0200200,2,251478.7180455862,223507.1028814912,305471.92374671163,309122.9208924949,225000,200000,275000,300000,77200,84900,97000,105690,1249,1144,1201,1405,-11.122855795306105,1.19519892401325,22.922099848011552,57644.20284690871,1,TRUE
0200300,2,255133.4408164543,262750.0728495634,277954.645243097,367481.0753001799,225000,245000,250000,315000,90500,90600,86000,125600,850,861,662,716,2.9853522959338634,32.2090066092559,44.03485255566701,112347.63448372559,1,FALSE
0200400,2,155871.31696037558,147123.21919834343,208749.15262452138,266019.5751354434,137500,129000,175000,200000,66100,62100,67800,83280,1073,1170,1622,1262,-5.612384582761962,27.435044305992832,70.66614969518021,110148.25817506784,1,FALSE
0400101,4,259374.32008001124,212102.31942748174,318121.8403704145,393977.12797906756,225000,188000,280000,375000,53000,52000,90900,106000,1321,1374,1554,1656,-18.22539742482877,23.84472802003432,51.895194504041235,134602.80789905632,1,TRUE
0400102,4,339066.15773689206,257177.60761767175,331754.3024373198,422132.8503580691,275000,200000,285000,370000,76700,82400,100300,100900,1166,1168,1300,1209,-24.15120124809508,27.242615169346603,24.498668099349214,83066.69262117706,1,TRUE
0400103,4,350630.3464934512,237818.05541004598,240822.25361327545,302649.5559502663,275000,198000,250000,300000,76000,84000,82000,82600,1879,1759,620,621,-32.17413786673261,25.673417389522594,-13.684152276899697,-47980.79054318491,0,TRUE
0400104,4,432388.31946302636,293648.0374128529,200770.63550200273,306174.0299781804,350000,250000,209000,298000,85000,83000,69000,75400,1541,1557,727,826,-32.08696345508869,52.49940770104614,-29.190032154797503,-126214.28948484594,0,TRUE
0400105,4,715382.6646794925,736448.3994812315,389568.5156013033,487284.82169563626,625000,583000,350000,450000,122000,120000,112740,115000,1425,1471,1361,1327,2.944680636226615,25.0832144234004,-31.884731661208086,-228097.84298385622,0,FALSE
0400106,4,387763.55322239833,371417.43710455584,279809.1049945318,385810.3306823044,350000,250000,275000,375000,66000,75000,88000,100000,736,725,756,850,-4.215485437453511,37.88340829360937,-0.5037148344299603,-1953.222540093935,0,FALSE
0400107,4,381112.00969505013,309885.30615995673,422383.71462758613,576858.3478500046,350000,250000,400000,543000,77000,77000,137000,139500,1058,1053,1336,1301,-18.689178436566728,36.57210916822824,51.3618918258657,195746.33815495443,1,TRUE
0400108,4,311723.0135683172,214747.3089000098,395760.38370080397,489889.69432841224,275000,185000,340000,425000,81000,80000,118100,113700,924,878,710,831,-31.10957499037979,23.784419690367567,57.15544666420595,178166.680760095,1,TRUE
0400109,4,269201.4893254997,150511.28141543304,312807.7443812619,392168.7957794247,225000,140000,300000,375000,61400,62030,100000,95900,973,1019,331,394,-44.089729298100096,25.370551983979848,45.6785386893761,122967.30645392503,1,TRUE
0400110,4,308960.7518397575,185289.19072889828,696072.3391111164,957655.2269305227,275000,165000,450000,600000,74100,75000,127700,130000,2324,2254,881,902,-40.0282431909026,37.57984237003979,209.9601555304379,648694.4750907652,1,TRUE
0400111,4,200116.78461822268,110706.40196005088,550924.1197990669,847654.9640046877,225000,100000,450000,650000,50000,47400,120000,140000,1069,1028,834,940,-44.67910216963883,53.86056510175022,323.5801437754563,647538.1793864651,1,TRUE
