puma_geoid,risk_score,sovi_score,resl_score,nri_pop,nri_tracts
0607317,37.42166220612963,52.51716098330806,5.377324961497452,164897,35
0607318,32.29118593388979,47.07887692021717,5.377324961497449,155858,34
0607319,42.28029946840167,42.20314290309216,5.37732496149745,138022,30
0607320,37.631085164431006,19.99987560226155,5.377324961497449,160465,30
0607321,50.40993357262563,61.33782468980641,5.377324961497451,176389,39
0607322,43.36359164260237,53.40010872271242,5.37732496149745,140984,29
0607501,81.8703459734845,46.30973766505281,99.6718398294041,145888,41
0607502,87.63243735595309,52.877593799300826,99.6718398294041,118426,42
0607503,80.23710825704055,55.449873472797734,99.671839829404135,163771,49
0607504,60.79189019424011,39.29823608249613,99.67183982940408,114512,32
0607505,76.18185294579376,43.91298851962821,99.67183982940409,108473,23
0607506,59.85495859961257,49.427914012396194,99.6718398294041,112569,26
0607507,49.525320717174935,56.34703087555071,99.67183982940409,110169,28
0607701,38.5176350628875,53.56512863310475,36.64968605615449,189198,43
0607702,63.123348544960216,59.22513705409074,36.6496860561545,164779,38
0607703,63.34766006216389,26.11824062879946,36.64968605615449,246726,51
0607704,78.53653451122669,51.57634653084719,36.64968605615449,177809,42
0607901,64.55556548772013,45.37323564979415,90.40398057102242,166915,43
0607902,82.2819250961158,43.923407938223775,90.40398057102242,113455,26
0608101,77.48606785191669,44.211480828955864,96.05378509655249,142642,29
0608102,83.20128124647601,39.457951427608265,96.05378509655253,123117,27
0608103,83.19923495823623,32.31594343459742,96.05378509655249,110800,26
0608104,83.71507398078971,38.60333466264998,96.05378509655249,129671,32
0608105,81.96755042311456,29.77846195645862,96.05378509655246,139778,31
0608106,81.15589587707682,34.923696914497306,96.05378509655247,117653,27
0608301,59.43538999301563,68.27962941206007,48.7193460490463,134034,27
0608302,73.927150729167,60.126770518674576,48.719346049046294,108184,28
0608303,89.34008456546435,45.267017170553295,48.71934604904629,205780,52
0608501,86.14119162751915,27.766776899153523,61.681080440706104,218153,50
0608502,76.15979739936652,23.52420841308016,61.68108044070608,162459,36
0608503,90.05756852595715,26.401397338038656,61.68108044070611,157560,30
0608504,87.48233142230063,35.37070418551126,61.6810804407061,144285,28
0608505,80.66738386517126,40.4483440794777,61.6810804407061,109277,22
0608506,90.57389341785672,33.05580842651513,61.68108044070611,128248,26
0608507,89.78944090908531,28.50438896956259,61.68108044070611,143210,31
0608508,87.51197172216104,41.18251402348489,61.6810804407061,140872,27
0608509,93.49387954272795,41.08979511893544,61.68108044070611,133951,30
0608510,86.30642228610324,44.23603966461445,61.68108044070611,160223,36
0608511,88.58788720366952,32.93557719897909,61.681080440706104,108842,22
0608512,87.57195170851767,28.43586315825546,61.6810804407061,113224,25
0608513,80.5530918220366,33.286139041353835,61.68108044070609,109987,23
0608514,84.92554588456511,58.3895023502074,61.6810804407061,104334,22
0608701,92.29943890297608,44.43224251376257,59.8779765430636,147275,36
0608702,79.59247310407896,38.62753489865275,59.8779765430636,123133,33
0608900,75.16486288027549,51.45247467627131,37.0631441772302,181918,50
0609501,66.53417342963357,49.4112180309269,60.7238478853216,154489,38
