puma_geoid,hc_share,n_orig
600104,0.127268370036865,196121
600105,0.127268370036865,196121
600106,0.127268370036865,196121
600107,0.127268370036865,196121
600108,0.127268370036865,196121
600109,0.127268370036865,196121
600110,0.127268370036865,196121
600300,0.164771100726454,4801
600701,0.170999308095285,20234
600702,0.170999308095285,20234
601100,0.246672021586872,4232
601301,0.144770281910938,186903
601302,0.144770281910938,186903
601303,0.144770281910938,186903
601304,0.144770281910938,186903
601305,0.144770281910938,186903
601306,0.144770281910938,186903
601307,0.144770281910938,186903
601308,0.144770281910938,186903
601309,0.144770281910938,186903
601500,0.176705684820836,2460
601700,0.119438335307055,29555
601901,0.264599302458881,102933
601902,0.264599302458881,102933
601903,0.264599302458881,102933
601904,0.264599302458881,102933
601905,0.264599302458881,102933
601906,0.264599302458881,102933
601907,0.264599302458881,102933
602300,0.145907473309609,9835
602500,0.336911544227886,16675
602901,0.294965206713058,109935
602902,0.294965206713058,109935
602903,0.294965206713058,109935
602904,0.294965206713058,109935
602905,0.294965206713058,109935
603100,0.279796239418683,13349
603300,0.185504151871652,6882
603701,0.197613009128862,1048433
603702,0.197613009128862,1048433
603703,0.197613009128862,1048433
603704,0.197613009128862,1048433
603705,0.197613009128862,1048433
603706,0.197613009128862,1048433
603707,0.197613009128862,1048433
603708,0.197613009128862,1048433
603709,0.197613009128862,1048433
603710,0.197613009128862,1048433
603711,0.197613009128862,1048433
603712,0.197613009128862,1048433
603713,0.197613009128862,1048433
603714,0.197613009128862,1048433
603715,0.197613009128862,1048433
603716,0.197613009128862,1048433
603717,0.197613009128862,1048433
603718,0.197613009128862,1048433
603719,0.197613009128862,1048433
603720,0.197613009128862,1048433
603721,0.197613009128862,1048433
603722,0.197613009128862,1048433
603723,0.197613009128862,1048433
603724,0.197613009128862,1048433
603725,0.197613009128862,1048433
603726,0.197613009128862,1048433
603727,0.197613009128862,1048433
603728,0.197613009128862,1048433
603729,0.197613009128862,1048433
603730,0.197613009128862,1048433
603731,0.197613009128862,1048433
603732,0.197613009128862,1048433
603733,0.197613009128862,1048433
603734,0.197613009128862,1048433
603735,0.197613009128862,1048433
603736,0.197613009128862,1048433
603737,0.197613009128862,1048433
603738,0.197613009128862,1048433
603739,0.197613009128862,1048433
603740,0.197613009128862,1048433
603741,0.197613009128862,1048433
603742,0.197613009128862,1048433
603743,0.197613009128862,1048433
603744,0.197613009128862,1048433
603745,0.197613009128862,1048433
603746,0.197613009128862,1048433
603747,0.197613009128862,1048433
603748,0.197613009128862,1048433
603749,0.197613009128862,1048433
603750,0.197613009128862,1048433
603751,0.197613009128862,1048433
603752,0.197613009128862,1048433
603753,0.197613009128862,1048433
603754,0.197613009128862,1048433
603755,0.197613009128862,1048433
603756,0.197613009128862,1048433
603757,0.197613009128862,1048433
603758,0.197613009128862,1048433
603759,0.197613009128862,1048433
603760,0.197613009128862,1048433
603761,0.197613009128862,1048433
603762,0.197613009128862,1048433
603763,0.197613009128862,1048433
603764,0.197613009128862,1048433
603765,0.197613009128862,1048433
603766,0.197613009128862,1048433
603767,0.197613009128862,1048433
603768,0.197613009128862,1048433
603769,0.197613009128862,1048433
603900,0.274414008892792,18217
604101,0.0484987735585432,32207
604102,0.0484987735585432,32207
604701,0.268210502270067,35021
604702,0.268210502270067,35021
605301,0.16409430707303,43475
605302,0.16409430707303,43475
605303,0.16469599173144,28842
605500,0.102545672356993,16695
605700,0.105496021227592,13043
605901,0.122336133524925,361880
605902,0.122336133524925,361880
605903,0.122336133524925,361880
605904,0.122336133524925,361880
605905,0.122336133524925,361880
605906,0.122336133524925,361880
605907,0.122336133524925,361880
605908,0.122336133524925,361880
605909,0.122336133524925,361880
605910,0.122336133524925,361880
605911,0.122336133524925,361880
605912,0.122336133524925,361880
605913,0.122336133524925,361880
605914,0.122336133524925,361880
605915,0.122336133524925,361880
605916,0.122336133524925,361880
605917,0.122336133524925,361880
605918,0.122336133524925,361880
606101,0.115862635669531,58414
606102,0.115862635669531,58414
606103,0.115862635669531,58414
606501,0.24404725297253,390240
606502,0.24404725297253,390240
606503,0.24404725297253,390240
606504,0.24404725297253,390240
