puma_geoid,cluster,cluster_label
3100200,3,Persistently Depressed
3100300,3,Persistently Depressed
3100400,3,Persistently Depressed
3100500,3,Persistently Depressed
3100600,3,Persistently Depressed
3100701,3,Persistently Depressed
3100702,1,Below-Average Recovery
3100801,1,Below-Average Recovery
3100802,1,Below-Average Recovery
3100901,1,Below-Average Recovery
3100902,1,Below-Average Recovery
3100903,3,Persistently Depressed
3100904,3,Persistently Depressed
3200101,2,Boom Markets
3200102,2,Boom Markets
3200103,2,Boom Markets
3200200,2,Boom Markets
3200300,2,Boom Markets
3200401,2,Boom Markets
3200402,2,Boom Markets
3200403,2,Boom Markets
3200404,2,Boom Markets
3200405,2,Boom Markets
3200406,2,Boom Markets
3200407,2,Boom Markets
3200408,2,Boom Markets
3200409,2,Boom Markets
3200410,2,Boom Markets
3200411,2,Boom Markets
3200412,2,Boom Markets
3200413,2,Boom Markets
3300100,3,Persistently Depressed
3300200,1,Below-Average Recovery
3300300,1,Below-Average Recovery
3300400,1,Below-Average Recovery
3300500,1,Below-Average Recovery
3300600,1,Below-Average Recovery
3300700,1,Below-Average Recovery
3300800,1,Below-Average Recovery
3300900,1,Below-Average Recovery
3301000,1,Below-Average Recovery
3400101,3,Persistently Depressed
3400102,1,Below-Average Recovery
3400301,1,Below-Average Recovery
3400302,1,Below-Average Recovery
3400303,1,Below-Average Recovery
3400304,1,Below-Average Recovery
3400305,4,Above-Average Recovery
3400306,4,Above-Average Recovery
3400307,1,Below-Average Recovery
3400308,4,Above-Average Recovery
3400400,3,Persistently Depressed
3400501,1,Below-Average Recovery
3400502,1,Below-Average Recovery
3400503,1,Below-Average Recovery
3400601,4,Above-Average Recovery
3400602,3,Persistently Depressed
3400701,3,Persistently Depressed
3400702,4,Above-Average Recovery
3400703,1,Below-Average Recovery
3400800,1,Below-Average Recovery
3400901,1,Below-Average Recovery
3400902,1,Below-Average Recovery
3400903,1,Below-Average Recovery
3400904,1,Below-Average Recovery
3400905,1,Below-Average Recovery
3400906,1,Below-Average Recovery
3400907,1,Below-Average Recovery
3401001,4,Above-Average Recovery
3401002,1,Below-Average Recovery
3401003,1,Below-Average Recovery
3401101,1,Below-Average Recovery
3401102,1,Below-Average Recovery
3401103,1,Below-Average Recovery
3401104,1,Below-Average Recovery
