county_geoid,hc_share,n_orig
21091,0.211180124223602,483
05053,0.25,1020
13073,0.11024867040391,13914
39011,0.212452050752434,3389
47031,0.246499416569428,3428
29211,0.212435233160622,193
21093,0.230697239120262,8548
05055,0.293792517006803,2352
13075,0.373092926490985,721
39013,0.230862993661629,4102
55051,0.293023255813954,430
47033,0.400793650793651,756
21095,0.431535269709544,723
05057,0.390146471371505,751
29213,0.235294117647059,3978
13077,0.175803654795251,14994
55053,0.394495412844037,654
39015,0.229251305861869,3446
29215,0.235849056603774,954
21097,0.24978466838932,1161
05059,0.302473498233216,1415
47035,0.195381343056822,3291
13079,0.338877338877339,481
55055,0.192242833052277,7116
39017,0.193673000626436,38312
29217,0.274473924977127,1093
47037,0.220817599737317,60910
21099,0.364922206506365,707
10001,0.199268091134459,16942
55057,0.333554817275747,1505
39019,0.252206223873665,2153
47039,0.403292181069959,486
29219,0.203996885543732,3853
55059,0.206161848554566,19994
10003,0.200143687763149,59852
10005,0.173700832615561,17415
05061,0.403960396039604,505
13081,0.354531001589825,629
05063,0.209302325581395,1075
13083,0.308695652173913,1150
39021,0.273657289002558,3128
47041,0.336166194523135,1059
29221,0.342383107088989,1326
05065,0.454545454545455,528
39023,0.258233532934132,12024
55061,0.173621103117506,2085
13085,0.205553413035095,2593
05067,0.282142857142857,560
47043,0.258056330880487,3941
29223,0.29126213592233,309
13087,0.354095563139932,1172
55063,0.143471074380165,9075
39025,0.173320807891029,21290
29225,0.274169410356181,3341
05069,0.274032825322392,3412
47045,0.330289193302892,2628
55065,0.197916666666667,1056
13089,0.270875873186459,74440
39027,0.230085875037015,3377
47047,0.241907151819322,3985
29227,0.392156862745098,51
01101,0.228034304537968,17607
39029,0.258260196179659,7748
55067,0.182677949228472,2009
47049,0.362804878048781,656
29229,0.296739130434783,920
01103,0.242692750287687,8690
55069,0.254771415889925,2253
01105,0.485981308411215,107
51101,0.2,2095
01107,0.443105756358768,747
51103,0.187227866473149,689
01109,0.243301178992497,933
51105,0.452859350850077,647
51107,0.0952839116719243,63400
51109,0.252444848760519,4397
05071,0.353968253968254,1260
13091,0.417935702199662,591
05073,0.518518518518519,135
13093,0.474402730375427,293
39031,0.345964912280702,1425
05075,0.403846153846154,676
47051,0.277637130801688,2370
13095,0.310251611561655,4809
39033,0.304710144927536,2760
55071,0.219023779724656,6392
05077,0.463636363636364,110
47053,0.356470969834577,3083
55073,0.155539487426689,12447
39035,0.227191445714234,110167
13097,0.263249673039796,16057
05079,0.404580152671756,262
47055,0.311057108140948,1646
13099,0.477508650519031,289
39037,0.296977660972405,3044
55075,0.293871449925262,3345
47057,0.351947097722263,1361
39039,0.204184947688154,2963
01111,0.27536231884058,828
55077,0.291950886766712,1466
55078,0.320754716981132,106
47059,0.260623991393222,3718
01113,0.269554378311,3209
55079,0.298809266074908,92380
01115,0.220212619080491,7243
51111,0.329457364341085,516
01117,0.15023681464237,24914
51113,0.217647058823529,1190
01119,0.420454545454546,264
51115,0.163659793814433,776
51117,0.225437010247137,1659
51119,0.148319814600232,863
05081,0.429042904290429,606
05083,0.329557157569516,971
39041,0.0930980528511822,23008
47061,0.628571428571429,770
05085,0.201769911504425,5650
55081,0.289303387894937,2627
39043,0.20436147364943,6053
05087,0.372916666666667,960
47063,0.261217611122814,4747
55083,0.190041313328985,4599
39045,0.172006856540084,15168
05089,0.366834170854271,1194
47065,0.253297883219143,29337
39047,0.222222222222222,2205
55085,0.204728500909327,3849
47067,0.362068965517241,232
01121,0.311784351145038,4192
55087,0.135607108106724,19527
39049,0.191690477474078,111294
47069,0.541208791208791,1456
55089,0.0977725423002784,9338
01123,0.26888341543514,2436
02016,0.125,56
01125,0.178006620080912,13595
51121,0.105513146734521,5895
01127,0.310044977511244,3335
01129,0.475190839694657,524
51125,0.186011904761905,1344
51127,0.157028112449799,2490
05091,0.273166023166023,2072
05093,0.422210300429185,1864
39051,0.179973649538867,3795
05095,0.422857142857143,175
47071,0.339889850511408,1271
55091,0.293515358361775,586
39053,0.268471104608632,1367
05097,0.285106382978723,235
47073,0.235181644359465,3661
55093,0.155465949820789,4464
39055,0.116668490751888,9137
05099,0.417647058823529,170
47075,0.524948024948025,962
39057,0.132134952042391,14909
02020,0.132154778093708,32356
55095,0.213127876726036,4997
47077,0.352834740651387,1658
01131,0.422727272727273,220
39059,0.302222222222222,2025
55097,0.154376292212267,4353
