puma_geoid,state_fips,puma_code,puma_name
0607103,06,07103,San Bernardino County (West Central)--Hesperia City & Apple Valley Town PUMA
0603745,06,03745,Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA
0603732,06,03732,Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA
0603739,06,03739,Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA
0603753,06,03753,Los Angeles County (South)--Downey City PUMA
0603734,06,03734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA"
0601100,06,01100,"Colusa, Glenn, Tehama & Trinity Counties PUMA"
0600702,06,00702,Butte County (Southeast)--Oroville City & Paradise Town PUMA
0610702,06,10702,Tulare County (West Central)--Tulare & Porterville Cities PUMA
0605700,06,05700,Nevada & Sierra Counties PUMA
0606103,06,06103,Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA
0601700,06,01700,El Dorado County--El Dorado Hills PUMA
0600300,06,00300,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties PUMA"
0607101,06,07101,San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities PUMA
0606501,06,06501,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA"
0602500,06,02500,Imperial County--El Centro City PUMA
0607302,06,07302,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center PUMA"
0607319,06,07319,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley PUMA"
0607322,06,07322,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay) PUMA
0607310,06,07310,San Diego County (West)--San Diego City (Southwest/Central Coastal) PUMA
0605914,06,05914,Orange County (Northwest)--Huntington Beach City PUMA
0603768,06,03768,Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA
0603760,06,03760,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA"
0603726,06,03726,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA"
0611106,06,11106,Ventura County (South Central)--Camarillo & Moorpark Cities PUMA
0608303,06,08303,Santa Barbara County--South Coast Region PUMA
0603733,06,03733,Los Angeles County (Central)--LA City (Central/Koreatown) PUMA
0603740,06,03740,Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA
0603744,06,03744,Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA
0603741,06,03741,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA"
0603743,06,03743,Los Angeles County (Central)--East Los Angeles PUMA
0603703,06,03703,Los Angeles County (North Central)--Lancaster City PUMA
0603713,06,03713,Los Angeles County (East Central)--Covina & Walnut Cities PUMA
0603712,06,03712,Los Angeles County (East Central)--Pomona City PUMA
0607110,06,07110,San Bernardino County (Southwest)--Fontana City (East) PUMA
0606511,06,06511,Riverside County (Northwest)--Riverside City (West) PUMA
0607114,06,07114,San Bernardino County (Southwest)--Chino & Chino Hills Cities PUMA
0605913,06,05913,Orange County (Northwest)--Garden Grove City (East) PUMA
0603735,06,03735,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA"
0603716,06,03716,Los Angeles County (East Central)--La Puente & Industry Cities PUMA
0607113,06,07113,San Bernardino County (Southwest)--Ontario City PUMA
0603756,06,03756,Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA
0603751,06,03751,Los Angeles County (South Central)--LA City (South Central/Watts) PUMA
0603730,06,03730,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA
0601305,06,01305,Contra Costa County (South)--San Ramon City & Danville Town PUMA
0608514,06,08514,Santa Clara County (Central)--San Jose City (East Central/East Valley) PUMA
0608511,06,08511,Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park PUMA
0608503,06,08503,Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities PUMA
0608510,06,08510,Santa Clara County (Central)--San Jose City (Central) PUMA
0608509,06,08509,Santa Clara County (Central)--San Jose City (Northwest) PUMA
0600103,06,00103,Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA
0609503,06,09503,Solano County (Northeast)--Vacaville & Dixon Cities PUMA
0606709,06,06709,"Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna) PUMA"
0606707,06,06707,Sacramento County (West)--Sacramento City (Central/Downtown & Midtown) PUMA
0606701,06,06701,Sacramento County (North Central)--Citrus Heights City PUMA
0601308,06,01308,Contra Costa County (Northeast)--Antioch City PUMA
0601306,06,01306,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA"
0601304,06,01304,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA"
0609502,06,09502,Solano County (Central)--Fairfield & Suisun City Cities PUMA
0601307,06,01307,Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA
0606703,06,06703,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West) PUMA"
0602904,06,02904,Kern County (Central)--Bakersfield City (Southeast) PUMA
0607503,06,07503,San Francisco County (Central)--South of Market & Potrero PUMA
0600105,06,00105,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA"
0600102,06,00102,Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA
0601302,06,01302,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA"
0609703,06,09703,Sonoma County (Central)--Santa Rosa City PUMA
0606101,06,06101,Placer County (Southwest)--Roseville City PUMA
0606102,06,06102,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town PUMA"
0606712,06,06712,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East) PUMA"
0603708,06,03708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA"
0603719,06,03719,Los Angeles County (Central)--Glendale City PUMA
0603717,06,03717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA"
0607109,06,07109,San Bernardino County (Southwest)--Rialto City PUMA
0606510,06,06510,Riverside County (Northwest)--Riverside City (East) PUMA
0606513,06,06513,Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA
0606514,06,06514,Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA
0605906,06,05906,"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA"
0605910,06,05910,Orange County (North Central)--Anaheim City (East) PUMA
0605911,06,05911,Orange County (Central)--Orange & Villa Park Cities PUMA
0606702,06,06702,Sacramento County (Central)--Rancho Cordova City PUMA
0606708,06,06708,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park) PUMA"
0607701,06,07701,San Joaquin County (Central)--Stockton City (North) PUMA
0609904,06,09904,Stanislaus County (Central)--Modesto City (East) PUMA
0600110,06,00110,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA"
0608504,06,08504,Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities PUMA
0608505,06,08505,Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock PUMA
0608513,06,08513,Santa Clara County (Central)--San Jose City (Southeast/Evergreen) PUMA
0608508,06,08508,Santa Clara County (Central)--San Jose (West Central) & Campbell Cities PUMA
0600109,06,00109,Alameda County (South Central)--Fremont City (East) PUMA
0600106,06,00106,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA"
0600104,06,00104,Alameda County (North Central)--Oakland City (South Central) PUMA
0606704,06,06704,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park PUMA"
0606710,06,06710,Sacramento County (Central)--Elk Grove City PUMA
0607702,06,07702,San Joaquin County (Central)--Stockton City (South) PUMA
0607703,06,07703,"San Joaquin County (South)--Tracy, Manteca & Lathrop Cities PUMA"
0609902,06,09902,Stanislaus County (Central)--Modesto City (West) PUMA
0601309,06,01309,Contra Costa County (East)--Brentwood & Oakley Cities PUMA
0603704,06,03704,Los Angeles County (North Central)--Palmdale City PUMA
0607107,06,07107,San Bernardino County (Southwest)--San Bernardino City (East) PUMA
0606506,06,06506,Riverside County (Southwest)--Hemet City & East Hemet PUMA
0607308,06,07308,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA
0607314,06,07314,San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities PUMA
0607317,06,07317,San Diego County (South Central)--San Diego City (Central/Mid-City) PUMA
0607305,06,07305,San Diego County (Northwest)--San Marcos & Escondido (West) Cities PUMA
