puma_geoid,lisa_p,lisa_type
0603719,0.23578653367744512,Not Significant
0603717,0.9056368469028364,Not Significant
0607109,0.0011848370420479057,High-High
0606510,4.776836796441212e-5,High-High
0606513,0.018779216460223125,High-High
0606514,0.002890889897297279,High-High
0605906,0.3721492386685243,Not Significant
0605910,0.3765913386280278,Not Significant
0605911,0.2017791827516138,Not Significant
0606702,0.00998845948583557,High-High
0606708,0.012499393821452707,High-High
0607701,0.01749968554687829,High-High
0609904,6.582717801243967e-5,High-High
0600110,1.365317202246451e-6,High-High
0608504,1.0542041641051901e-4,High-High
0608505,0.004367925789906594,High-High
0608513,0.004267152707455496,High-High
0608508,0.013102274255727926,High-High
0600109,0.0010754721026188106,High-High
0600106,0.04403103869927386,High-High
0600104,0.044053492398057635,High-High
0606704,0.011067314295424737,High-High
0606710,0.10725750264754007,Not Significant
0607702,0.12813815291114677,Not Significant
0607703,0.05194352142674487,Not Significant
0609902,1.4575245614519025e-4,High-High
0601309,0.02736088240884856,High-High
0603704,0.03708840945594331,High-High
0607107,0.014198566426670936,High-High
0606506,2.0886362466658176e-5,High-High
0607308,0.2762721753236529,Not Significant
0607314,0.04731360901936773,High-High
0607317,0.1043065657558774,Not Significant
0607305,0.43036031527734203,Not Significant
0607303,0.28222044976889793,Not Significant
0606504,0.007399230065705145,High-High
0606509,0.0016285196520681893,High-High
0605905,0.045956983268799975,High-High
0605902,0.726429625316036,Not Significant
0603758,0.016045945044514485,High-High
0603702,0.5371671226642701,Not Significant
0603709,0.5338508606229122,Not Significant
0603710,0.616262444475004,Not Significant
0603711,0.06922482324394216,Not Significant
0603723,0.033884833820174445,High-High
0603720,0.031748138381086276,High-High
0603736,0.7505092767645025,Not Significant
0603714,0.22374883220178982,Not Significant
0605907,0.4873375274934685,Not Significant
0607104,6.2137296697535665e-6,High-High
0606507,1.044725914717645e-5,High-High
0606502,0.0012342495799141902,High-High
0607313,0.12338406561039678,Not Significant
0607321,0.08780967497737684,Not Significant
0607315,0.28010011298815435,Not Significant
0607312,0.6704223482578608,Not Significant
0607311,0.6908201428054159,Not Significant
0605915,0.026779913398289036,Spatial Outlier
0605904,0.6319445104291801,Not Significant
0603761,0.5283992261920535,Not Significant
0603759,0.27711640624160955,Not Significant
0603749,0.0138292226312927,High-High
0611102,0.49142789021575317,Not Significant
0608301,0.135863950229017,Not Significant
0607902,0.0155540967943472,High-High
0603100,0.16079112575023707,Not Significant
0601901,0.0016741280736546548,High-High
0605909,0.48223737337990125,Not Significant
0603764,0.46766797297264073,Not Significant
0603731,0.654644749012427,Not Significant
0603722,0.012756676099114895,High-High
0603718,0.5207002029120689,Not Significant
0603738,0.45462870717648984,Not Significant
0603715,0.717194187194774,Not Significant
0800810,0.004744531535993569,High-High
0800809,0.0020365114454082276,High-High
0800808,0.005979884294633462,High-High
0800820,0.027379478910453444,High-High
0800813,0.001136475511606015,High-High
0800815,0.010105250863143787,High-High
0804103,0.241567404869374,Not Significant
0804101,0.053920109917100924,Not Significant
0804102,0.27143456509725344,Not Significant
0800811,0.04195120190504998,High-High
0800816,0.019523011008076616,High-High
0800814,0.0013897150978108334,High-High
0801002,0.804924830851262,Not Significant
0800200,0.5094823376013266,Not Significant
0800400,0.3441277858229618,Not Significant
0800103,0.1199238287964907,Not Significant
0800100,0.06303352163583492,Not Significant
0800800,0.813108714248998,Not Significant
0800900,0.2397643853250154,Not Significant
0801001,0.8031411523720309,Not Significant
0800102,0.08214484626135993,Not Significant
0800300,0.0416340774511435,High-High
0800824,6.6182893468231e-4,High-High
0800600,0.3720605329949932,Not Significant
0800801,0.026026249982546015,High-High
0800807,3.534332213110685e-4,High-High
0800700,0.2562116998682037,Not Significant
0800803,0.2701031053029085,Not Significant
0800802,0.004660347360687222,High-High
0800812,4.227387550098908e-4,High-High
0800818,0.0017134424423877169,High-High
0800817,0.005227265912068607,High-High
0800804,0.004275471165963397,High-High
0800806,0.04128223455022972,High-High
0800823,0.08135287298432112,Not Significant
0804106,0.3278886189296605,Not Significant
